keywords,노출수,클릭수,ratio,period
0505전화,35,0,0,2022-02-01
0505전화,69,1,0,2022-03-01
0505전화,84,1,0,2022-04-01
0505전화,78,0,0,2022-05-01
0505전화,36,2,0,2022-06-01
0505전화,40,4,0,2022-07-01
0505전화,53,1,0,2022-08-01
0505전화,59,1,0,2022-09-01
0505전화,58,1,0,2022-10-01
0505전화,38,0,0,2022-11-01
0505전화,46,1,0,2022-12-01
0505전화번호,62,0,0,2021-02-01
0505전화번호,146,4,0,2021-03-01
0505전화번호,112,0,0,2021-04-01
0505전화번호,96,1,0,2021-05-01
0505전화번호,107,3,0,2021-06-01
0505전화번호,58,2,0,2021-07-01
0505전화번호,58,3,0,2021-08-01
0505전화번호,73,2,0,2021-09-01
0505전화번호,49,1,0,2021-10-01
0505전화번호,66,5,0,2021-11-01
0505전화번호,114,6,0,2021-12-01
0505전화번호,149,2,0,2022-01-01
0505전화번호,74,0,0,2022-02-01
0505전화번호,146,2,0,2022-03-01
0505전화번호,143,2,0,2022-04-01
0505전화번호,151,0,0,2022-05-01
0505전화번호,81,1,0,2022-06-01
0505전화번호,92,3,0,2022-07-01
0505전화번호,104,0,0,2022-08-01
0505전화번호,79,0,0,2022-09-01
0505전화번호,120,0,0,2022-10-01
0505전화번호,76,0,0,2022-11-01
0505전화번호,84,1,0,2022-12-01
0505전화신청,2,0,0,2021-04-01
0505전화신청,1,0,0,2021-05-01
0505전화신청,1,0,0,2021-06-01
0505전화신청,1,1,0,2021-07-01
0505팩스,1519,13,0,2021-02-01
0505팩스,3151,39,0,2021-03-01
0505팩스,1121,21,0,2021-04-01
0505팩스,920,13,0,2021-05-01
0505팩스,745,11,0,2021-06-01
0505팩스,942,15,0,2021-07-01
0505팩스,2491,39,0,2021-08-01
0505팩스,2710,14,0,2021-09-01
0505팩스,2493,11,0,2021-10-01
0505팩스,2881,16,0,2021-11-01
0505팩스,2802,8,0,2021-12-01
0505팩스,2734,8,1,2022-01-01
0505팩스,2323,9,0,2022-02-01
0505팩스,2909,2,1,2022-03-01
0505팩스,2525,7,0,2022-04-01
0505팩스,3393,14,1,2022-05-01
0505팩스,3820,43,1,2022-06-01
0505팩스,2962,17,0,2022-07-01
0505팩스,2633,17,0,2022-08-01
0505팩스,2345,14,0,2022-09-01
0505팩스,2086,17,0,2022-10-01
0505팩스,2138,10,0,2022-11-01
0505팩스,2180,11,0,2022-12-01
0505팩스보내기,9,0,0,2021-02-01
0505팩스보내기,11,0,0,2021-03-01
0505팩스보내기,9,0,0,2021-04-01
0505팩스보내기,9,0,0,2021-05-01
0505팩스보내기,10,1,0,2021-06-01
0505팩스보내기,11,0,0,2021-07-01
0505팩스보내기,8,0,0,2021-08-01
0505팩스보내기,11,0,0,2021-09-01
0505팩스보내기,5,0,0,2021-10-01
0505팩스보내기,18,1,0,2021-11-01
0505팩스보내기,22,1,0,2021-12-01
0505팩스보내기,10,0,0,2022-01-01
0505팩스보내기,15,2,0,2022-02-01
0505팩스보내기,17,1,0,2022-03-01
0505팩스보내기,16,0,0,2022-04-01
0505팩스보내기,31,2,0,2022-05-01
0505팩스보내기,31,0,0,2022-06-01
0505팩스보내기,30,3,0,2022-07-01
0505팩스보내기,16,3,0,2022-08-01
0505팩스보내기,30,0,0,2022-09-01
0505팩스보내기,23,1,0,2022-10-01
0505팩스보내기,22,2,0,2022-11-01
0505팩스보내기,13,0,0,2022-12-01
0505팩스이용,1,0,0,2021-02-01
0505팩스이용,3,0,0,2021-03-01
0505팩스이용,2,0,0,2021-04-01
0505팩스이용,6,0,0,2021-05-01
0505팩스이용,4,1,0,2021-06-01
0505팩스이용,8,1,0,2021-07-01
0505팩스이용,10,0,0,2021-08-01
0505팩스이용,12,0,0,2021-09-01
0505팩스이용,9,0,0,2021-10-01
0505팩스이용,8,2,0,2021-11-01
0505팩스이용,13,3,0,2021-12-01
0505팩스이용,5,0,0,2022-01-01
0505팩스이용,5,0,0,2022-02-01
0505팩스이용,10,0,0,2022-03-01
0505팩스이용,7,2,0,2022-04-01
0505팩스이용,31,4,0,2022-05-01
0505팩스이용,54,0,0,2022-06-01
0505팩스이용,60,5,0,2022-07-01
0505팩스이용,44,0,0,2022-08-01
0505팩스이용,39,0,0,2022-09-01
0505팩스이용,48,1,0,2022-10-01
0505팩스이용,39,1,0,2022-11-01
0505팩스이용,39,1,0,2022-12-01
0505평생번호,36,1,0,2021-02-01
0505평생번호,53,7,0,2021-03-01
0505평생번호,31,1,0,2021-04-01
0505평생번호,36,4,0,2021-05-01
0505평생번호,33,2,0,2021-06-01
0505평생번호,22,1,0,2021-07-01
0505평생번호,29,1,0,2021-08-01
0505평생번호,27,0,0,2021-09-01
0505평생번호,40,0,0,2021-10-01
0505평생번호,48,2,0,2021-11-01
0505평생번호,39,3,0,2021-12-01
0505평생번호,41,1,0,2022-01-01
0505평생번호,22,0,0,2022-02-01
0505평생번호,40,2,0,2022-03-01
0505평생번호,67,0,0,2022-04-01
0505평생번호,77,1,0,2022-05-01
0505평생번호,30,1,1,2022-06-01
0505평생번호,58,1,0,2022-07-01
0505평생번호,53,3,0,2022-08-01
0505평생번호,28,1,0,2022-09-01
0505평생번호,31,0,0,2022-10-01
0505평생번호,34,0,0,2022-11-01
0505평생번호,48,1,0,2022-12-01
050FAX,2,0,0,2021-02-01
050FAX,19,2,0,2021-03-01
050FAX,12,2,0,2021-04-01
050FAX,7,0,0,2021-05-01
050FAX,9,0,0,2021-06-01
050FAX,5,0,0,2021-07-01
050FAX,3,0,0,2021-08-01
050FAX,4,0,0,2021-09-01
050FAX,5,1,0,2021-10-01
050FAX,4,0,0,2021-11-01
050FAX,10,1,0,2021-12-01
050FAX,15,0,0,2022-01-01
050FAX,8,0,0,2022-02-01
050FAX,6,0,0,2022-03-01
050FAX,6,1,0,2022-04-01
050FAX,15,1,0,2022-05-01
050FAX,11,1,0,2022-06-01
050FAX,9,0,0,2022-07-01
050FAX,16,4,0,2022-08-01
050FAX,8,1,0,2022-09-01
050FAX,5,0,0,2022-10-01
050FAX,10,0,0,2022-11-01
050FAX,5,0,0,2022-12-01
050LG,4,0,0,2021-02-01
050LG,1,0,0,2021-03-01
050LG팩스,2,1,0,2021-02-01
050LG팩스,1,0,0,2021-05-01
050번호,361,1,0,2021-02-01
050번호,1891,16,0,2021-03-01
050번호,2194,14,0,2021-04-01
050번호,1856,21,1,2021-05-01
050번호,1952,11,0,2021-06-01
050번호,3228,14,2,2021-07-01
050번호,2878,14,0,2021-08-01
050번호,2977,14,2,2021-09-01
050번호,2199,17,0,2021-10-01
050번호,2821,16,0,2021-11-01
050번호,6071,20,2,2021-12-01
050번호,6318,23,2,2022-01-01
050번호,6611,11,0,2022-02-01
050번호,10282,22,0,2022-03-01
050번호,6751,17,2,2022-04-01
050번호,6523,21,0,2022-05-01
050번호,4449,10,0,2022-06-01
050번호,4924,14,0,2022-07-01
050번호,6548,22,1,2022-08-01
050번호,5162,17,0,2022-09-01
050번호,6980,31,1,2022-10-01
050번호,5820,14,0,2022-11-01
050번호,4542,13,0,2022-12-01
050번호가입,3,0,0,2021-03-01
050번호가입,8,1,0,2021-04-01
050번호가입,6,0,0,2021-05-01
050번호가입,1,0,0,2021-06-01
050번호가입,3,1,0,2021-07-01
050번호가입,3,0,0,2021-08-01
050번호가입,2,0,0,2021-09-01
050번호가입,2,0,0,2021-10-01
050번호가입,2,0,0,2021-11-01
050번호가입,4,1,0,2021-12-01
050번호가입,2,0,0,2022-01-01
050번호가입,2,0,0,2022-02-01
050번호가입,3,0,0,2022-03-01
050번호가입,2,0,0,2022-04-01
050번호가입,2,0,0,2022-05-01
050번호가입,5,0,0,2022-06-01
050번호가입,2,0,0,2022-07-01
050번호가입,3,0,0,2022-08-01
050번호가입,3,1,0,2022-09-01
050번호가입,3,0,0,2022-10-01
050번호가입,3,0,0,2022-11-01
050번호가입,8,1,0,2022-12-01
050번호신청,7,0,0,2021-02-01
050번호신청,11,0,0,2021-03-01
050번호신청,6,0,0,2021-04-01
050번호신청,11,1,0,2021-05-01
050번호신청,7,1,0,2021-06-01
050번호신청,5,0,0,2021-07-01
050번호신청,6,0,0,2021-08-01
050번호신청,3,1,0,2021-09-01
050번호신청,1,0,0,2021-10-01
050번호신청,7,0,0,2021-11-01
050번호신청,6,0,0,2021-12-01
050번호신청,7,0,0,2022-01-01
050번호신청,11,0,0,2022-02-01
050번호신청,6,0,0,2022-03-01
050번호신청,4,0,0,2022-04-01
050번호신청,6,2,0,2022-05-01
050번호신청,1,0,0,2022-06-01
050번호신청,7,0,0,2022-07-01
050번호신청,4,0,0,2022-08-01
050번호신청,6,0,0,2022-09-01
050번호신청,4,1,0,2022-10-01
050번호신청,9,1,0,2022-11-01
050번호신청,2,0,0,2022-12-01
050사업자,3,0,0,2021-03-01
050사업자,2,0,0,2021-04-01
050사업자,1,0,0,2021-05-01
050사업자,3,0,0,2021-06-01
050사업자,1,0,0,2021-07-01
050사업자,3,0,0,2021-09-01
050사업자,1,0,0,2021-11-01
050사업자,1,0,0,2021-12-01
050사업자,2,0,0,2022-01-01
050사업자,1,0,0,2022-02-01
050사업자,1,0,0,2022-03-01
050사업자,1,0,0,2022-06-01
050사업자,1,0,0,2022-10-01
050사업자,1,0,0,2022-11-01
050사업자,2,0,0,2022-12-01
050안심,3,0,0,2021-02-01
050안심,1,0,0,2021-03-01
050안심,9,0,0,2021-04-01
050안심,1,0,0,2021-05-01
050안심,2,0,0,2021-06-01
050안심,15,1,0,2021-07-01
050안심,3,0,0,2021-08-01
050안심,10,0,0,2021-09-01
050안심,12,0,0,2021-10-01
050안심,16,0,0,2021-11-01
050안심,20,0,0,2021-12-01
050안심,12,0,0,2022-01-01
050안심,27,0,0,2022-02-01
050안심,222,5,1,2022-03-01
050안심,62,0,0,2022-04-01
050안심,72,5,0,2022-05-01
050안심,62,0,0,2022-06-01
050안심,46,1,0,2022-07-01
050안심,34,1,0,2022-08-01
050안심,70,3,0,2022-09-01
050안심,31,2,1,2022-10-01
050안심,27,1,0,2022-11-01
050안심,42,1,0,2022-12-01
050안심번호,51,2,0,2021-02-01
050안심번호,124,6,0,2021-03-01
050안심번호,147,3,0,2021-04-01
050안심번호,102,2,0,2021-05-01
050안심번호,125,3,0,2021-06-01
050안심번호,148,5,0,2021-07-01
050안심번호,106,2,0,2021-08-01
050안심번호,84,5,0,2021-09-01
050안심번호,87,2,0,2021-10-01
050안심번호,98,7,0,2021-11-01
050안심번호,103,3,0,2021-12-01
050안심번호,81,2,0,2022-01-01
